Time,rfr1m,rfr3m,rfr6m,rfr1y,rfr5y
2007-01-03,1.0,1.0,1.0,1.0,1.0
2007-01-04,4.79,5.07,5.11,5.0,4.68
2007-01-05,4.84,5.05,5.09,4.98,4.66
2007-01-08,4.8,5.04,5.07,4.95,4.61
2007-01-09,4.81,5.05,5.09,4.98,4.65
2007-01-10,4.87,5.08,5.13,5.01,4.66
2007-01-11,4.9,5.08,5.13,5.02,4.65
2007-01-12,4.94,5.09,5.13,5.02,4.68
2007-01-16,4.99,5.11,5.15,5.05,4.73
2007-01-17,4.98,5.09,5.15,5.06,4.76
2007-01-18,4.98,5.09,5.15,5.06,4.76
2007-01-19,5.0,5.11,5.16,5.06,4.74
2007-01-22,5.01,5.12,5.16,5.08,4.78
2007-01-23,4.97,5.12,5.16,5.07,4.75
2007-01-24,4.96,5.14,5.17,5.09,4.78
2007-01-25,4.98,5.13,5.18,5.09,4.77
2007-01-26,5.02,5.14,5.18,5.1,4.81
2007-01-29,4.99,5.13,5.17,5.09,4.81
2007-01-30,4.97,5.14,5.18,5.11,4.85
2007-01-31,4.94,5.13,5.18,5.12,4.87
2007-02-01,4.95,5.14,5.19,5.12,4.89
2007-02-02,4.99,5.13,5.18,5.11,4.86
2007-02-05,5.0,5.12,5.16,5.09,4.82
2007-02-06,4.99,5.13,5.16,5.09,4.84
2007-02-07,5.01,5.14,5.16,5.08,4.82
2007-02-08,5.06,5.15,5.16,5.08,4.8
2007-02-09,5.14,5.14,5.16,5.07,4.76
2007-02-12,5.15,5.15,5.16,5.06,4.74
2007-02-13,5.15,5.16,5.16,5.06,4.73
2007-02-14,5.15,5.15,5.17,5.08,4.78
2007-02-15,5.16,5.18,5.18,5.1,4.8
2007-02-16,5.24,5.17,5.17,5.1,4.81
2007-02-20,5.23,5.16,5.16,5.06,4.72
2007-02-21,5.23,5.17,5.15,5.04,4.68
2007-02-22,5.23,5.17,5.15,5.05,4.68
2007-02-23,5.23,5.17,5.15,5.05,4.68
2007-02-26,5.23,5.19,5.16,5.04,4.67
2007-02-27,5.27,5.18,5.16,5.05,4.68
2007-02-28,5.26,5.19,5.17,5.07,4.72
2007-03-01,5.25,5.18,5.17,5.05,4.67
2007-03-02,5.23,5.19,5.18,5.05,4.62
2007-03-05,5.22,5.14,5.1,4.93,4.46
2007-03-06,5.24,5.16,5.12,4.96,4.52
2007-03-07,5.25,5.15,5.11,4.95,4.5
2007-03-08,5.23,5.12,5.07,4.9,4.46
2007-03-09,5.22,5.1,5.08,4.89,4.45
2007-03-12,5.24,5.14,5.1,4.92,4.48
2007-03-13,5.24,5.12,5.09,4.9,4.45
2007-03-14,5.24,5.1,5.08,4.91,4.45
2007-03-15,5.22,5.1,5.13,4.98,4.55
2007-03-16,5.22,5.09,5.13,4.96,4.5
2007-03-19,5.23,5.09,5.1,4.9,4.41
2007-03-20,5.24,5.06,5.1,4.91,4.44
2007-03-21,5.21,5.05,5.12,4.93,4.46
2007-03-22,5.18,5.04,5.13,4.95,4.47
2007-03-23,5.17,5.06,5.13,4.96,4.5
2007-03-26,5.22,5.06,5.12,4.94,4.47
2007-03-27,5.24,5.05,5.08,4.89,4.43
2007-03-28,5.23,5.06,5.08,4.91,4.49
2007-03-29,5.24,5.08,5.1,4.93,4.52
2007-03-30,5.22,5.06,5.09,4.91,4.48
2007-04-02,5.2,5.08,5.09,4.91,4.5
2007-04-03,5.18,5.06,5.08,4.9,4.5
2007-04-04,5.05,5.05,5.06,4.9,4.53
2007-04-05,5.07,5.04,5.06,4.9,4.54
2007-04-09,5.12,5.04,5.09,4.92,4.54
2007-04-10,5.15,5.05,5.09,4.93,4.56
2007-04-11,5.16,5.07,5.08,4.92,4.55
2007-04-12,5.1,5.04,5.07,4.93,4.57
2007-04-13,5.1,5.05,5.1,4.98,4.67
2007-04-16,5.08,5.02,5.11,4.98,4.66
2007-04-17,5.0,5.03,5.1,4.97,4.63
2007-04-18,5.01,5.04,5.1,4.97,4.66
2007-04-19,5.0,5.03,5.1,4.97,4.66
2007-04-20,4.98,5.02,5.09,4.98,4.68
2007-04-23,4.97,5.01,5.09,4.97,4.67
2007-04-24,4.94,5.01,5.07,4.93,4.61
2007-04-25,4.94,5.0,5.04,4.91,4.56
2007-04-26,4.93,4.99,5.04,4.91,4.57
2007-04-27,4.93,4.99,5.05,4.91,4.57
2007-04-30,4.93,4.98,5.04,4.9,4.55
2007-05-01,4.92,4.98,5.03,4.88,4.51
2007-05-02,4.94,4.97,5.03,4.9,4.55
2007-05-03,4.91,4.96,5.04,4.92,4.59
2007-05-04,4.85,4.95,5.03,4.91,4.59
2007-05-07,4.8,4.91,5.03,4.89,4.51
2007-05-08,4.69,4.9,5.01,4.89,4.54
2007-05-09,4.72,4.91,5.02,4.9,4.55
2007-05-10,4.74,4.9,5.03,4.93,4.59
2007-05-11,4.74,4.9,5.03,4.91,4.55
2007-05-14,4.76,4.89,5.03,4.92,4.55
2007-05-15,4.76,4.9,5.02,4.91,4.54
2007-05-16,4.75,4.88,4.99,4.9,4.58
2007-05-17,4.77,4.87,4.95,4.86,4.56
2007-05-18,4.75,4.87,4.91,4.85,4.58
2007-05-21,4.72,4.85,4.94,4.87,4.61
2007-05-22,4.79,4.83,4.91,4.85,4.63
2007-05-23,4.73,4.75,4.86,4.82,4.62
2007-05-24,4.8,4.81,4.9,4.86,4.68
2007-05-25,4.78,4.84,4.98,4.92,4.74
2007-05-29,4.85,4.88,5.01,4.95,4.71
2007-05-30,5.01,4.93,5.02,4.96,4.76
2007-05-31,5.0,4.91,5.01,4.96,4.79
2007-06-01,4.99,4.91,4.99,4.94,4.79
2007-06-04,4.97,4.88,4.97,4.93,4.8
2007-06-05,4.97,4.88,4.97,4.93,4.8
2007-06-06,4.95,4.9,5.0,4.96,4.82
2007-06-07,4.94,4.85,4.99,4.96,4.83
2007-06-08,4.78,4.73,4.96,4.95,4.86
2007-06-11,4.8,4.79,4.98,4.98,4.92
2007-06-12,4.78,4.81,4.99,4.99,4.91
2007-06-13,4.75,4.83,4.99,4.99,4.96
